body,quantity,value,unit,source,url,retrieved,note
47 Tuc,distance,1.39473e+20,m,Baumgardt Globular Cluster Database Version 2 (Baumgardt & Vasiliev 2021 distances),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,D = 4.52 +/- 0.03 kpc. Combined Gaia EDR3 + HST + literature distances (model-dependent combination).
47 Tuc,galactocentric_distance,2.32043e+20,m,Baumgardt Globular Cluster Database Version 2,https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,R_GC = 7.52 +/- 0.01 kpc (catalogue-derived).
47 Tuc,total_mass,1.76974e+36,kg,Baumgardt Globular Cluster Database Version 2 (N-body fit),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,"M = (8.90 +/- 0.05)e5 Msun. MODEL-DEPENDENT: N-body grid fitted to velocity-dispersion + surface-density profiles + mass function (Baumgardt & Hilker 2018 method; V2 updates). Not a star-count sum; the 0.05e5 error is fit uncertainty, systematics from model family/distance not included."
47 Tuc,sigma0,1.2400e+04,m/s,Baumgardt Globular Cluster Database Version 2 (N-body fit central value),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,Central 1D velocity dispersion 12.4 km/s. MODEL-DEPENDENT central extrapolation of the N-body fit; innermost observed LOS bin (4.83 arcsec) gives 12.41 +0.71/-0.65 km/s.
47 Tuc,core_radius,1.8205e+16,m,Baumgardt Globular Cluster Database Version 2 (N-body fit),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,"r_c = 0.59 pc, SPITZER (1987) DEFINITION - model-dependent; do not mix with King-profile core radius (Harris 2010: 0.36 arcmin = 0.47 pc at D=4.52 kpc)."
47 Tuc,half_light_radius_projected,1.2343e+17,m,Baumgardt Globular Cluster Database Version 2 (N-body fit),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,Projected half-light radius 4.00 pc (model-dependent).
47 Tuc,half_mass_radius_3d,1.9255e+17,m,Baumgardt Globular Cluster Database Version 2 (N-body fit),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,3D half-mass radius 6.24 pc (model-dependent).
47 Tuc,tidal_radius,4.18973e+18,m,Baumgardt Globular Cluster Database Version 2 (Webb et al. 2013 Eq. 8),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,"r_t = 135.78 pc, WEBB+2013 EQ.8 DEFINITION - model/definition-dependent. The King limiting radius from Harris c=2.07, r_c=0.36 arcmin is ~55.6 pc: NOT the same definition; a simulator must fix one definition."
47 Tuc,mass_to_light_V,1.95,Msun/Lsun,Baumgardt Globular Cluster Database Version 2,https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,M/L_V = 1.95 +/- 0.09 (V band; N-body mass over Baumgardt et al. 2020 V-band luminosity - model-dependent numerator).
47 Tuc,rotation_amplitude,5.840e+03,m/s,Baumgardt Globular Cluster Database Version 2 (Sollima+2019 method),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,"A_rot = 5.84 +/- 0.37 km/s, projected rotation amplitude (P_rot=100%). Not a disk peak rotation speed."
47 Tuc,v_rot_over_sigma0,0.47,dimensionless,derived from A_rot/sigma0 (this record),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/parameter.html,2026-08-31,DERIVED: 5.84/12.4 = 0.471 +/- 0.030 (error propagates A_rot only; sigma0 error unavailable).
47 Tuc,imbh_mass_upper_limit,1.1493e+33,kg,"Della Croce et al. 2024 (A&A 682, A22)",https://arxiv.org/abs/2310.15221,2026-08-31,"M_BH < 578 Msun at 3 sigma (99.7%). MODEL-DEPENDENT: action-based self-consistent DF models fitted to MUSE+HST central 3D individual-star kinematics. An upper limit, not a detection; older pulsar-based studies argued for larger IMBHs."
47 Tuc,estimated_number_of_stars,1.9e6,count,Giersz & Heggie 2011 Monte Carlo model A (12 Gyr),https://academic.oup.com/mnras/article/410/4/2698/1008661,2026-08-31,"MODEL-DEPENDENT, no formal error. Model N=1.85e6 counts single stars + binaries; ~1.87e6 individual components at binary fraction 0.0084. Catalogue N_RV=7177, N_PM=27460 are measurement-sample sizes, not star counts."
47 Tuc,sigma_los(r=0.106 pc),1.241e+04,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 4.83 arcsec = 0.106 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 12.41 +0.71/-0.65 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=0.262 pc),1.271e+04,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 11.94 arcsec = 0.262 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 12.71 +0.50/-0.48 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=0.541 pc),1.210e+04,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 24.68 arcsec = 0.541 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 12.1 +0.24/-0.24 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=0.879 pc),1.183e+04,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 40.11 arcsec = 0.879 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 11.83 +0.23/-0.23 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=1.517 pc),1.151e+04,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 69.22 arcsec = 1.517 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 11.51 +0.22/-0.22 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=2.122 pc),1.097e+04,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 96.83 arcsec = 2.122 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 10.97 +0.30/-0.29 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=3.696 pc),9.580e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 168.64 arcsec = 3.696 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 9.58 +0.51/-0.47 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=5.794 pc),8.360e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 264.41 arcsec = 5.794 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 8.36 +0.45/-0.42 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=8.441 pc),7.760e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 385.18 arcsec = 8.441 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 7.76 +0.42/-0.39 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=11.406 pc),7.080e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 520.49 arcsec = 11.406 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 7.08 +0.38/-0.35 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=14.019 pc),6.480e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 639.76 arcsec = 14.019 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 6.48 +0.35/-0.32 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=17.851 pc),5.650e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 814.6 arcsec = 17.851 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 5.65 +0.32/-0.29 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=21.379 pc),5.050e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 975.59 arcsec = 21.379 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 5.05 +0.41/-0.36 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=25.745 pc),4.660e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 1174.86 arcsec = 25.745 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 4.66 +0.40/-0.36 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=35.529 pc),3.960e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 1621.33 arcsec = 35.529 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 3.96 +0.34/-0.30 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
47 Tuc,sigma_los(r=54.711 pc),2.800e+03,m/s,Baumgardt V2 velocity-dispersion data (BH18 LOS RV series),https://people.smp.uq.edu.au/HolgerBaumgardt/globular/newdata/indivdata/ngc104_kin.txt,2026-08-31,r = 2496.69 arcsec = 54.711 pc at D=4.52 kpc (1 arcsec = 0.02191 pc); sigma = 2.8 +0.54/-0.44 km/s. LOS radial-velocity series only (PM series excluded for tracer consistency).
NGC 3198,distance,4.25824e+23,m,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,"D = 13.80 +/- 1.40 Mpc (Cepheid P-L, SPARC distance flag 3). Physical radii scale as D, luminosity and HI mass as D^2 - declare when mixing with Begeman 1989 (D=9.4 Mpc)."
NGC 3198,inclination,73.0,deg,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,i = 73 +/- 3 deg (outer HI tilted-ring representative). SPARC Vobs is ALREADY DEPROJECTED - do not divide by sin(i) again. Daigle+2006 Halpha tilted-ring gives 69.8 +/- 0.8 deg: treat the difference as model error. eVobs excludes inclination systematics.
NGC 3198,luminosity_3.6um,3.82790e+10,Lsun,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,L[3.6] = (38.279 +/- 0.212)e9 Lsun (Spitzer 3.6 um; scales as D^2).
NGC 3198,half_light_radius_total,1.8020e+20,m,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,R_eff(total 3.6 um) = 5.84 kpc. Distinct from a disk-only Sersic R_e.
NGC 3198,disk_scale_length,9.6890e+19,m,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,"R_d = 3.14 kpc (exponential fit to the outer 3.6 um disk). Pure-exponential equivalent R_e = 1.678 R_d = 5.27 kpc is a DERIVED value, not a measured Sersic fit."
NGC 3198,sersic_n_disk,1,dimensionless,derived interpretation of SPARC exponential disk,https://astroweb.cwru.edu/SPARC/,2026-08-31,"DERIVED/EQUIVALENT value only: SPARC uses a NON-PARAMETRIC bulge-disk decomposition and does not fit a Sersic index for NGC 3198; the exponential disk is Sersic n=1 by definition. Bulge: none (SPARC L_bul=0, all Vbul=0)."
NGC 3198,hi_mass,2.16127e+40,kg,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,M_HI = 10.869e9 Msun (neutral hydrogen only; x1.33 for He when building the gas model; scales as D^2). HALOGAS (Gentile+2013) gives ~1.08e10 Msun at the same D - consistent.
NGC 3198,hi_radius,1.1004e+21,m,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,R_HI = 35.66 kpc where face-on Sigma_HI = 1 Msun/pc^2 (catalogue definition - do not equate with Begeman tilted-ring radii).
NGC 3198,v_flat,1.5010e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016)",https://astroweb.cwru.edu/SPARC/,2026-08-31,V_flat = 150.1 +/- 3.9 km/s (SPARC flat-part indicator; rotation-curve quality flag 1 = high).
