body,quantity,value,unit,source,retrieved,note
Jupiter,mass,18.98,1e26 kg,NASAFact,2026-08,"Primary mass declared as MJ in tests/exp-jupiter.mjs; = 1.898e27 kg. Jupiter sheet of the NASA planetary fact sheet series (NSSDCA). TODO(ref-verify): pin the archival URL and sheet revision at submission."
Jupiter,radius,7.1492,1e7 m,NASAFact,2026-08,"Primary radius declared as RJ in tests/exp-jupiter.mjs; = 71492 km (equatorial). TODO(ref-verify): pin the archival URL and sheet revision at submission."
Jupiter,rotation_period,9.925,h,NASAFact,2026-08,"Rotation period behind SPIN_J in tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Jupiter,spin,0.175851814,rad/(1e3 s),derived,2026-08,"Derived, not observed: SPIN_J = 2*pi/(9.925*3600 s) expressed per 1e3 s. Deterministic conversion of the rotation period above."
Io,semi_major_axis,42.18,1e7 m,NASASats,2026-08,"= 421800 km. Transcribed into MOONS[0].a of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Io,eccentricity,0.0041,1,NASASats,2026-08,"Transcribed into MOONS[0].e of tests/exp-jupiter.mjs."
Io,mass,0.000893,1e26 kg,NASASats,2026-08,"= 8.93e22 kg. Transcribed into MOONS[0].m of tests/exp-jupiter.mjs."
Io,radius,0.18216,1e7 m,NASASats,2026-08,"= 1821.6 km. Transcribed into MOONS[0].R of tests/exp-jupiter.mjs."
Io,spin,0.041105924,rad/(1e3 s),derived,2026-08,"Derived, not observed: synchronous rotation assumed, spin = 2*pi/(P_sidereal*86400 s) per 1e3 s, with P_sidereal the row below."
Io,sidereal_orbital_period,1.769138,d,NASASats,2026-08,"Comparison target of the wave-138 hold-out (fixed source; unchanged by wave 162). Transcribed into MOONS[0].Pobs of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Io,inclination,0.04,deg,NASASats,2026-08,"Declared and deliberately IGNORED: the run is two-dimensional and equatorial. Recorded so the idealization is auditable."
Europa,semi_major_axis,67.11,1e7 m,NASASats,2026-08,"= 671100 km. Transcribed into MOONS[1].a of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Europa,eccentricity,0.009,1,NASASats,2026-08,"Transcribed into MOONS[1].e of tests/exp-jupiter.mjs."
Europa,mass,0.00048,1e26 kg,NASASats,2026-08,"= 4.80e22 kg. Transcribed into MOONS[1].m of tests/exp-jupiter.mjs."
Europa,radius,0.15608,1e7 m,NASASats,2026-08,"= 1560.8 km. Transcribed into MOONS[1].R of tests/exp-jupiter.mjs."
Europa,spin,0.0204782725,rad/(1e3 s),derived,2026-08,"Derived, not observed: synchronous rotation assumed, spin = 2*pi/(P_sidereal*86400 s) per 1e3 s, with P_sidereal the row below."
