body,quantity,value,unit,epoch,center,frame,ephemeris,source,url,retrieved,note,sigma,record_id
Pluto,state_x,1.370860133507983e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.370860133507983e+03; printed_survey2=1.370860133507983e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-b0e22518
Pluto,state_y,1.097857913042653e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.097857913042653e+03; printed_survey2=1.097857913042653e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-0e5b240b
Pluto,state_z,-1.208110104842008e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.208110104842008e+03; printed_survey2=-1.208110104842008e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-1653efb3
Pluto,state_vx,-8.639354888307112e-03,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-8.639354888307112e-03; printed_survey2=-8.639354888307112e-03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-29461322
Pluto,state_vy,-1.102398237662285e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.102398237662285e-02; printed_survey2=-1.102398237662285e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-30666624
Pluto,state_vz,-1.981641679170623e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.981641679170623e-02; printed_survey2=-1.981641679170623e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-20049395
Charon,state_x,-1.123218444101707e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.123218444101707e+04; printed_survey2=-1.123218444101707e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-6297a180
Charon,state_y,-8.995444528122283e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-8.995444528122283e+03; printed_survey2=-8.995444528122283e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-759543fd
Charon,state_z,9.897987186425396e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=9.897987186425396e+03; printed_survey2=9.897987186425396e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-150f3e6a
Charon,state_vx,7.078521538859640e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=7.078521538859640e-02; printed_survey2=7.078521538859640e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-80f7b28f
