body,quantity,value,unit,source,url,retrieved,note,sigma,record_id,solution_id
Mars,mass,6.4171e23,kg,Wikipedia,https://en.wikipedia.org/wiki/Mars,2026-08-23,"Transcribed observation record (wave 181 device intake, accepted). TODO(ref-verify): pin an agency-grade primary reference (NASA/JPL) at submission.",,SOL-546fa429,
Mars,radius,3389500,m,Wikipedia,https://en.wikipedia.org/wiki/Mars,2026-08-23,"Mean radius 3389.5 km converted to m.",,SOL-115bcbaf,
Mars,rotation_period,88642.6848,s,Wikipedia,https://en.wikipedia.org/wiki/Mars,2026-08-23,"Sidereal rotation period 1.025957 d x 86400 s/d.",,SOL-8155e0b9,
Phobos,mass,1.0638e16,kg,Wikipedia,https://en.wikipedia.org/wiki/Phobos_(moon),2026-08-23,"Held in the declaration only: the built preset demotes Phobos to the m=1e-6 test-particle floor (1.7e-8 of Mars), declared (wave 181 demotion frame).",,SOL-e0be1c6f,
Phobos,radius,11080,m,Wikipedia,https://en.wikipedia.org/wiki/Phobos_(moon),2026-08-23,"Mean radius 11.08 km converted to m. sigma_primary=unverified; intake 2026-09-14. sigma transcribed at the 2026-09-14 intake from the observation record provided by the original hypothesis author: 11080 +/- 40 m - JPL Solar System Dynamics, Planetary Satellite Physical Parameters, mean radius ref. 1. The value of this row is unchanged.",40,SOL-bfdd9043,
Phobos,semi_major_axis,9376000,m,Wikipedia,https://en.wikipedia.org/wiki/Phobos_(moon),2026-08-23,"9376 km converted to m.",,SOL-2327b02f,
Phobos,eccentricity,0.0151,1,Wikipedia,https://en.wikipedia.org/wiki/Phobos_(moon),2026-08-23,,,SOL-8666c005,
Phobos,orbital_period,27553.843872,s,Wikipedia,https://en.wikipedia.org/wiki/Phobos_(moon),2026-08-23,"0.31891023 d x 86400 s/d. Compared against, not fitted to.; superseded_by=SOL-e57b4bc2; superseded_on=2026-09-23 (same form as AM7 for Deimos: the judgement row is now the lambda_dot-derived period of Jacobson 2010 Table 6; the 0.31891023 d reading has no Period column behind it; this secondary-source value stays as the history row)",,SOL-1887dc86,
Deimos,mass,1.51e15,kg,Wikipedia,https://en.wikipedia.org/wiki/Deimos_(moon),2026-08-23,"Held in the declaration only: demoted to the m=1e-6 floor (2.4e-9 of Mars), declared.",,SOL-bef7042a,
Deimos,radius,6270,m,Wikipedia,https://en.wikipedia.org/wiki/Deimos_(moon),2026-08-23,"Mean radius 6.27 km converted to m. The built preset raises the display/drag radius to the 0.01-unit floor, declared.",,SOL-79930c14,
Deimos,semi_major_axis,23463200,m,Wikipedia,https://en.wikipedia.org/wiki/Deimos_(moon),2026-08-23,"23463.2 km converted to m.",,SOL-51de9e36,
