body,quantity,value,unit,source,url,retrieved,note
Betelgeuse,present_day_mass,3.52959e+31,kg,"Joyce et al. (2020) ApJ 902 63 (MESA evolutionary+asteroseismic+hydro combined)",https://arxiv.org/abs/2006.09837,2026-09-01,"M = 16.5-19 Msun (midpoint 17.75 transcribed; Msun=1.9885e30 kg). MODEL-DEPENDENT: not a direct measurement; initial-mass range in the paper is 18-21 Msun. Use with the SAME paper's radius and distance as one consistent set."
Betelgeuse,photospheric_radius,5.31515e+11,m,"Joyce et al. (2020) ApJ 902 63 (asteroseismic period-radius)",https://arxiv.org/abs/2006.09837,2026-09-01,"R = 764 +116/-62 Rsun (3-sigma; Rsun=6.957e8 m). MODEL-DEPENDENT. Observed reference: physical photosphere angular diameter 42.28 +/- 0.43 mas. RSG radius varies with wavelength/molecular layers/pulsation phase - assign to the photosphere layer only."
Betelgeuse,effective_temperature,3.600e+03,K,"Levesque & Massey (2020) ApJL 891 L37 (optical spectroscopy + MARCS)",https://arxiv.org/abs/2002.10463,2026-09-01,"Teff = 3600 +/- 25 K measured 2020-02-15 during the Great Dimming. Systematics (atmosphere model, surface inhomogeneity, epoch) likely exceed the statistical error; Joyce et al. adopt ~+/-200 K theoretical width."
Betelgeuse,bolometric_luminosity,4.82328e+31,W,"Harper Brown & Guinan (2008) AJ 135 1430 (VLA-Hipparcos distance); tabulated by Dolan et al. (2016)",https://ui.adsabs.harvard.edu/abs/2008AJ....135.1430H/abstract,2026-09-01,"log10(L/Lsun) = 5.10 +/- 0.22 (L=1.26e5 Lsun; Lsun=3.828e26 W). DERIVED VIA d=197+/-45 pc (L~d^2) - do NOT fix simultaneously with the Joyce 168.1 pc set; re-derive from flux after choosing a distance."
Betelgeuse,projected_rotation_period,1.13605e+09,s,"Kervella et al. (2018) A&A 609 A67 (ALMA SiO velocity field, rigid rotation model)",https://arxiv.org/abs/1711.07983,2026-09-01,"P_rot/sin(i) = 36 +/- 8 yr (v_eq sin i = 5.47 +/- 0.25 km/s). NOT the true period: P_rot = (36+/-8) sin(i) yr (i~60 deg gives ~31 yr). The ~400-day photometric period is pulsation, not rotation."
Betelgeuse,distance,5.18706e+18,m,"Joyce et al. (2020) ApJ 902 63 (asteroseismic radius + angular diameter)",https://arxiv.org/abs/2006.09837,2026-09-01,"d = 168.1 +27.5/-14.9 pc (3-sigma; parallax 5.95 +0.58/-0.85 mas). MODEL-DEPENDENT independent distance; radio-astrometric 222 +48/-34 pc differs systematically. Part of the Joyce consistent set."
Betelgeuse,mass_loss_rate,1.95340e+17,kg/s,"Harper Brown & Lim (2001) ApJ 551 1073 (semi-empirical extended atmosphere)",https://ui.adsabs.harvard.edu/abs/2001ApJ...551.1073H/abstract,2026-09-01,"Mdot = 3.1 +/- 1.3 e-6 Msun/yr. MODEL-DEPENDENT (wind ionization/velocity/geometry/distance); episodic ejection averaged as steady wind. Alternative H I shell estimate ~1.2e-6 Msun/yr."
Crab pulsar,pulsar_spin_period,3.38558552784e-02,s,"Jodrell Bank Crab Pulsar Monthly Ephemeris (2026-06-15 entry; method Lyne Pritchard & Graham-Smith 1993 MNRAS 265 1003)",https://www.jb.man.ac.uk/~pulsar/crab/crab2.txt,2026-09-01,"P = 1/nu with nu = 29.5369882632 Hz at MJD 61206 (2026-06-15). TIME-DEPENDENT: glitches and timing noise - store the reference MJD with the value. This is the commonly quoted ~33 ms at the current epoch."
Crab pulsar,pulsar_period_derivative,4.193734724e-13,s/s,"Jodrell Bank Crab Pulsar Monthly Ephemeris; conversion Pdot = -nudot/nu^2 (HEASARC definition)",https://heasarc.gsfc.nasa.gov/W3Browse/all/crabtime.html,2026-09-01,"From nudot = -3.6587554e-10 Hz/s at MJD 61206. Local (inter-glitch) timing solution, not a long-term constant."
Crab pulsar,pulsar_mass_fiducial,2.7839e+30,kg,"Omand et al. (2025) MNRAS 536 408 (pulsar-driven SN 1054 model assumption)",https://academic.oup.com/mnras/article/536/1/408/7901363,2026-09-01,"M = 1.4 Msun FIDUCIAL - not a dynamical measurement for the Crab pulsar; EOS- and birth-mass-distribution-dependent standard assumption. Constraint side: M > 1.2 Msun (Bejger & Haensel 2002 with nebula mass 2 Msun; > 1.9 Msun if 4.6 Msun - strongly assumption-dependent)."
Crab pulsar,pulsar_radius_fiducial,1.2e+04,m,"Omand et al. (2025) MNRAS 536 408 (standard assumption); constraint range Bejger & Haensel (2002) A&A 396 917",https://arxiv.org/abs/astro-ph/0209151,2026-09-01,"R = 12 km FIDUCIAL (EOS-dependent, paired with M=1.4 Msun for rotational energy). EOS exploration range 10-14 km from moment-of-inertia constraints - not a direct radius measurement."
Crab nebula,filament_expansion_velocity,1.5e+06,m/s,"Omand et al. (2025) MNRAS 536 408 (thermal filament characteristic value)",https://academic.oup.com/mnras/article/536/1/408/7901363,2026-09-01,"Characteristic 1500 km/s; observed range ~700-1800 km/s by direction/line/position. NOT a single velocity field: outer freely-expanding component shows absorption up to ~1200-2500 km/s (implement as a separate component only if needed)."
Crab nebula,ejecta_mass_optical,9.14710e+30,kg,"Fesen Shull & Hurford (1997) AJ 113 354 (optical filaments)",https://ntrs.nasa.gov/api/citations/19970022615/downloads/19970022615.pdf,2026-09-01,"M_ej = 4.6 +/- 1.8 Msun (visible filaments). Depends on density/temperature/ionization/filling factor; up to ~4 Msun may be undetected cold material. Alternative total (gas+dust radiative-transfer model): 7.2 +/- 0.5 Msun (Owen & Barlow 2015) - different definition, keep separate."
Crab nebula,explosion_year,1.054e+03,yr CE,"Historical guest-star records (Clark & Stephenson 1977); compiled by Omand et al. (2025)",https://academic.oup.com/mnras/article/536/1/408/7901363,2026-09-01,"SN 1054. Chinese first sighting 1054-07-04 is the Earth-arrival date, not the physical explosion instant; use 1054 CE for year-level calibration."
Crab pulsar,distance,5.86283e+19,m,"Lin et al. (2023) VLBI radio parallax with giant pulses",https://arxiv.org/abs/2306.01617,2026-09-01,"d = 1.90 +0.22/-0.18 kpc (parallax 0.53 +/- 0.06 mas; asymmetric errors from nonlinear inversion). Pulsar and nebula assumed co-located."
Crab nebula,explosion_energy_SN1054_model,5.53e+42,J,"Omand et al. (2025) MNRAS 536 408 (pulsar-driven SN model posterior mean)",https://academic.oup.com/mnras/article/536/1/408/7901363,2026-09-01,"E = 5.53 +2.82/-2.80 e49 erg. MODEL-DEPENDENT posterior (prior 1e49-1e50 erg); the paper states the explosion energy alone is not well constrained (degenerate with initial pulsar rotational energy, field decay, PWN coupling)."
Crab nebula,explosion_energy_canonical_ccsn,1.0e+44,J,"Lundqvist et al. (2012) MNRAS 423 1571 (canonical core-collapse value - comparison only)",https://academic.oup.com/mnras/article/423/2/1571/963515,2026-09-01,"1e51 erg is the GENERIC core-collapse standard, NOT an SN 1054-specific estimate; inconsistent with the Crab's low filament velocities/kinetic energy (few e49 erg). Use only as a comparison case, never as the SN 1054 default."
