body,quantity,value,unit,source,url,retrieved,note,sigma,record_id
AT2018cow,peak_bolometric_luminosity,4e44,erg/s,"Perley et al. 2019 MNRAS 484 1031 Table 3 Lbol,peak row",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (UV-optical-NIR blackbody SED); epoch=optical/UV peak about discovery+3 d; z=0.0140; distance=60 Mpc; orig approximately 4e44 erg/s with NO printed uncertainty; sigma_kind=digits; digits=1 significant figure; the other stream carries a SECOND independent peak value from a different paper (1.7e44 erg/s) which is transcribed as its own row and NOT merged with this one; record_stream=1+2; collate=partial; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-bcb10173
AT2018cow,peak_bolometric_luminosity_candidate,1.7e44,erg/s,Prentice et al. 2018 ApJL 865 L3 (UVONIR 1850-23000 A peak luminosity),https://doi.org/10.3847/2041-8213/aadd90,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (spline-interpolated UVONIR bolometric); orig Lp approximately 1.7e44 erg/s (M=-21.8 mag); no printed 1-sigma; sigma_kind=digits; digits=2 significant figures; this is a DIFFERENT bolometric definition and band from the 4e44 row - the two are not the same quantity restated; record_stream=2; collate=only-2; candidate_for=AT2018cow|peak_bolometric_luminosity; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-b94c6f42
AT2018cow,rise_time_to_peak,2.5,d,Perley et al. 2019 MNRAS 484 1031 Table 3 t_rise row,https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (g-band light-curve timing); orig approximately 2.5 d with no printed uncertainty; sigma_kind=digits; digits=2 significant figures; record_stream=1; collate=conflict-one-empty; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-b42dc7e2
AT2018cow,rise_time_to_peak_candidate,,d,Prentice et al. 2018 ApJL 865 L3,https://doi.org/10.3847/2041-8213/aadd90,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed; VALUE LEFT EMPTY because the printed quantity is an upper limit; upper_limit=1.7 d (rest-frame rise from Lp/2 to Lp); upper_limit_alt=3.3 d (to rise more than 5 mag from the non-detections); level=not a Gaussian 1-sigma; sigma_kind=none; record_stream=2; collate=only-2; candidate_for=AT2018cow|rise_time_to_peak; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-04a159f9
AT2018cow,blackbody_temperature(t=3.44 d),31390,K,"Perley et al. 2019 MNRAS 484 1031 corrected Table 4, MJD 58288.44 T column",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (combined synchrotron+blackbody UV-optical-NIR SED); epoch=MJD 58288.44 = 3.44 observer-frame d after MJD 58285; orig 31.39 +3.10 -2.04 kK; conversion=1 kK=1000 K; z=0.0140; distance=60 Mpc; sigma_kind=none; the published asymmetric statistical errors carry NO stated confidence level so they are not transcribed as a 1-sigma; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-c2bf585f
AT2018cow,photospheric_radius(t=3.44 d),52.77,AU,"Perley et al. 2019 MNRAS 484 1031 corrected Table 4, MJD 58288.44 R column",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (spherical equivalent blackbody radius); epoch=MJD 58288.44 = 3.44 observer-frame d after MJD 58285; orig 52.77 +4.70 -3.98 AU; z=0.0140; distance=60 Mpc; sigma_kind=none; the published asymmetric statistical errors carry NO stated confidence level; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-e5e810f2
AT2018cow,blackbody_temperature(t=5.69 d),25420,K,"Perley et al. 2019 MNRAS 484 1031 corrected Table 4, MJD 58290.69 T column",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (combined synchrotron+blackbody UV-optical-NIR SED); epoch=MJD 58290.69 = 5.69 observer-frame d after MJD 58285; orig 25.42 +3.19 -0.60 kK; conversion=1 kK=1000 K; z=0.0140; distance=60 Mpc; sigma_kind=none; the published asymmetric statistical errors carry NO stated confidence level so they are not transcribed as a 1-sigma; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-00d18e4b
AT2018cow,photospheric_radius(t=5.69 d),44.29,AU,"Perley et al. 2019 MNRAS 484 1031 corrected Table 4, MJD 58290.69 R column",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (spherical equivalent blackbody radius); epoch=MJD 58290.69 = 5.69 observer-frame d after MJD 58285; orig 44.29 +1.89 -4.35 AU; z=0.0140; distance=60 Mpc; sigma_kind=none; the published asymmetric statistical errors carry NO stated confidence level; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-2a33c381
AT2018cow,blackbody_temperature(t=13.39 d),20910,K,"Perley et al. 2019 MNRAS 484 1031 corrected Table 4, MJD 58298.39 T column",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (combined synchrotron+blackbody UV-optical-NIR SED); epoch=MJD 58298.39 = 13.39 observer-frame d after MJD 58285; orig 20.91 +0.78 -1.17 kK; conversion=1 kK=1000 K; z=0.0140; distance=60 Mpc; sigma_kind=none; the published asymmetric statistical errors carry NO stated confidence level so they are not transcribed as a 1-sigma; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-29b1f00e
AT2018cow,photospheric_radius(t=13.39 d),24.51,AU,"Perley et al. 2019 MNRAS 484 1031 corrected Table 4, MJD 58298.39 R column",https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (spherical equivalent blackbody radius); epoch=MJD 58298.39 = 13.39 observer-frame d after MJD 58285; orig 24.51 +2.08 -0.78 AU; z=0.0140; distance=60 Mpc; sigma_kind=none; the published asymmetric statistical errors carry NO stated confidence level; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-8ace8734
